序号,类别,子类,药典通用名,P0 检索名,药典页码,entryId,已有_处方,已有_功能主治,已有_用法用量,已有_规格,待补_禁忌,待补_不良反应,待补_注意事项,说明书来源,备注
1,中医方剂,固涩剂,四神丸,四神丸,878,1100,✓,✓,✓,,,,,,
2,中医方剂,开窍剂,安宫牛黄丸,安宫牛黄丸,979,1217,✓,✓,✓,✓,,,,,
3,中医方剂,开窍剂,紫雪散,紫雪,1768,2076,✓,✓,✓,✓,,,,,
4,中医方剂,开窍剂,苏合香丸,苏合香丸,1045,1286,✓,✓,✓,✓,,,,,
5,中医方剂,治风剂,川芎茶调散,川芎茶调散,594,788,✓,✓,✓,,,,,,
6,中医方剂,消食剂,保和丸,保和丸,1399,1672,✓,✓,✓,✓,,,,,
7,中医方剂,消食剂,健脾丸,健脾丸,1530,1819,✓,✓,✓,✓,,,,,
8,中医方剂,消食剂,枳实导滞丸,枳实导滞丸,1301,1561,✓,✓,✓,,,,,,
9,中医方剂,温里剂,四逆汤,四逆汤,878,1099,✓,✓,✓,✓,,,,,
10,中医方剂,温里剂,理中丸,理中丸,1636,1934,✓,✓,✓,✓,,,,,
11,中医方剂,理气剂,越鞠丸,越鞠丸,1757,2062,✓,✓,✓,,,,,,
12,中医方剂,祛湿剂,五苓散,五苓散,694,898,✓,✓,✓,✓,,,,,
13,中医方剂,祛痰剂,清气化痰丸,清气化痰丸,1711,2011,✓,✓,✓,,,,,,
14,中医方剂,补益剂,六味地黄丸,六味地黄丸,791,1004,✓,✓,✓,✓,,,,,
15,中医方剂,补益剂,参苓白术散,参苓白术散,1272,1534,✓,✓,✓,,,,,,
16,中医方剂,补益剂,右归丸,右归丸,855,1070,✓,✓,✓,✓,,,,,
17,中医方剂,解表剂,葛根汤颗粒,葛根汤,1760,2066,✓,✓,✓,✓,,,,,
18,中医方剂,解表剂,败毒散,败毒散,1193,1447,✓,✓,✓,✓,,,,,
19,中医方剂,解表剂,银翘散,银翘散,1676,1975,✓,✓,✓,✓,,,,,
20,中医方剂,驱虫剂,乌梅丸,乌梅丸,785,997,✓,✓,✓,✓,,,,,
21,西医常用药,儿科常用,蒙脱石散,蒙脱石散,1770,4715,,,,✓,,,,,
22,西医常用药,呼吸,沙丁胺醇吸入气雾剂,沙丁胺醇,690,3147,,,,✓,,,,,
23,西医常用药,妇产,硫酸镁注射液,硫酸镁,1669,4567,,,,✓,,,,,
24,西医常用药,妇产,米非司酮片,米非司酮,541,2940,,,,✓,,,,,
25,西医常用药,妇产,缩宫素注射液,缩宫素,1836,4816,,,,✓,,,,,
26,西医常用药,抗生素,克拉霉素胶囊,克拉霉素,591,3002,,,,✓,,,,,
27,西医常用药,抗生素,头孢呋辛酯,头孢呋辛,366,2726,,,,,,,,,
28,西医常用药,抗生素,头孢哌酮钠,头孢哌酮,384,2742,,,,,,,,,
29,西医常用药,抗生素,头孢曲松钠,头孢曲松,352,2711,,,,,,,,,
30,西医常用药,抗生素,左氧氟沙星片,左氧氟沙星,232,2540,,,,✓,,,,,
31,西医常用药,抗生素,甲硝唑氯化钠注射液,甲硝唑,304,2654,,,,✓,,,,,
32,西医常用药,抗生素,阿奇霉素干混悬剂,阿奇霉素,739,3208,,,,✓,,,,,
33,西医常用药,抗生素,阿莫西林胶囊,阿莫西林,748,3221,,,,✓,,,,,
34,西医常用药,抗血小板/抗凝,华法林钠片,华法林,512,2907,,,,✓,,,,,
35,西医常用药,抗血小板/抗凝,阿司匹林肠溶胶囊,阿司匹林,715,3183,,,,✓,,,,,
36,西医常用药,消化,奥美拉唑肠溶片,奥美拉唑,1724,4655,,,,✓,,,,,
37,西医常用药,消化,雷贝拉唑钠肠溶胶囊,雷贝拉唑,1801,4763,,,,✓,,,,,
38,西医常用药,激素,地塞米松磷酸钠注射液,地塞米松,461,2839,,,,✓,,,,,
39,西医常用药,激素,氢化可的松注射液,氢化可的松,980,3556,,,,✓,,,,,
40,西医常用药,激素,泼尼松龙片,泼尼松,910,3442,,,,✓,,,,,
41,西医常用药,甲状腺,丙硫氧嘧啶片,丙硫氧嘧啶,213,2517,,,,✓,,,,,
42,西医常用药,甲状腺,左甲状腺素钠片,左甲状腺素钠,226,2534,,,,✓,,,,,
43,西医常用药,甲状腺,甲巯咪唑片,甲巯咪唑,310,2663,,,,✓,,,,,
44,西医常用药,精神科,利培酮胶囊,利培酮,656,3105,,,,✓,,,,,
45,西医常用药,精神科,地西泮片,地西泮,449,2823,,,,✓,,,,,
46,西医常用药,精神科,奥氮平片,奥氮平,1736,4668,,,,✓,,,,,
47,西医常用药,精神科,氯硝西泮注射液,氯硝西泮,1696,4614,,,,✓,,,,,
48,西医常用药,肾内,螺内酯胶囊,螺内酯,1927,4963,,,,✓,,,,,
49,西医常用药,调脂,阿托伐他汀钙,阿托伐他汀,717,3186,,,,,,,,,
50,西医常用药,镇痛/解热,对乙酰氨基酚,对乙酰氨基酚,433,2799,,,,,,,,,
51,西医常用药,镇痛/解热,布洛芬片,布洛芬,259,2579,,,,✓,,,,,
52,西医常用药,降压,呋塞米注射液,呋塞米,623,3044,,,,✓,,,,,
53,西医常用药,降压,氢氯噻嗪片,氢氯噻嗪,984,3563,,,,✓,,,,,
54,西医常用药,降压,硝普钠,硝普钠,1583,4437,,,,,,,,,
55,西医常用药,降压,硝苯地平软胶囊,硝苯地平,1582,4435,,,,✓,,,,,
56,西医常用药,降压,缬沙坦胶囊,缬沙坦,1879,4884,,,,✓,,,,,
57,西医常用药,降糖,二甲双胍格列本脲胶囊（Ⅰ）,二甲双胍,65,2302,✓,,,,,,,,
58,西医常用药,降糖,格列美脲胶囊,格列美脲,1391,4147,,,,✓,,,,,
59,西医常用药,降糖,甘精胰岛素,甘精胰岛素,421,5141,,,,,,,,,
60,西医常用药,降糖,阿卡波糖片,阿卡波糖,708,3174,,,,✓,,,,,
